L,Delta_sup,a,b,R2,s_ref,s_min,s_max,ds,metric,two_point,robust
8.0,0.04553369362998927,0.0013091891897833953,0.04549340094659308,0.023676095138178144,3.0,1.8,2.3,0.05,sup,2.1;2.4,False
10.0,0.04578338864880416,0.0013091891897833953,0.04549340094659308,0.023676095138178144,3.0,1.8,2.3,0.05,sup,2.1;2.4,False
12.0,0.04577583680995323,0.0013091891897833953,0.04549340094659308,0.023676095138178144,3.0,1.8,2.3,0.05,sup,2.1;2.4,False
14.0,0.045377864878031415,0.0013091891897833953,0.04549340094659308,0.023676095138178144,3.0,1.8,2.3,0.05,sup,2.1;2.4,False
