s,absdev_raw,absdev_rescaled
1.05,8.522749577676532,0.9087155728390297
1.06,10.917320100081282,0.895270853308315
1.07,13.501601662379036,0.8831674730488519
1.08,16.28826328872925,0.8723076045366444
1.09,19.290729717222483,0.8625999534015528
1.1,22.523225127885254,0.8539593363451816
1.11,26.000819268751517,0.846306285969153
1.12,29.739476112554822,0.8395666808055939
1.1300000000000001,33.75610518354179,0.8336713989501185
1.1400000000000001,38.068615701234656,0.8285559937991289
1.1500000000000001,42.69597369569789,0.8241603904883401
1.1600000000000001,47.65826225701127,0.8204286017184637
1.1700000000000002,52.97674509024036,0.817308461737351
1.1800000000000002,58.67393355624777,0.8147513773259621
1.1900000000000002,64.77365738822888,0.8127120947086255
1.2000000000000002,71.30113928390794,0.8111484813765115
1.2100000000000002,78.28307358392172,0.8100213218773464
1.2200000000000002,85.74770925807655,0.8092941266844264
1.2300000000000002,93.72493743291743,0.8089329533142134
1.2400000000000002,102.24638370642943,0.8089062389144465
1.2500000000000002,111.34550550873071,0.8091846435940079
1.2600000000000002,121.05769478135004,0.8097409038119721
1.2700000000000002,131.42038626214398,0.810549695186507
1.2800000000000002,142.47317167813918,0.8115875041248123
1.2900000000000003,154.25792016462208,0.8128325077132157
1.3000000000000003,166.8189052456852,0.8142644613420807
1.3100000000000003,180.20293872921914,0.8158645935734659
1.3200000000000003,194.45951188805995,0.8176155077906411
1.3300000000000003,209.64094431871104,0.8195010901977721
1.3400000000000003,225.80254088980908,0.821506423765425
1.3500000000000003,243.0027572143494,0.8236177077431651
1.3600000000000003,261.3033741026837,0.8258221823845107
1.3700000000000003,280.7696814775137,0.8281080585519871
1.3800000000000003,301.470672257591,0.8304644518910672
1.3900000000000003,323.47924674366055,0.8328813212815135
1.4000000000000004,346.8724280684282,0.8353494112931009
1.4100000000000004,371.7315893020584,0.8378601983900086
1.4200000000000004,398.1426928360012,0.8404058406443708
1.4300000000000004,426.19654270088154,0.842979130734665
1.4400000000000004,455.9890505088559,0.8455734520188309
1.4500000000000004,487.62151574732746,0.8481827374853449
1.4600000000000004,521.2009211893202,0.8508014313979447
1.4700000000000004,556.8402442262351,0.8534244534613983
1.4800000000000004,594.6587849712572,0.8560471653466547
1.4900000000000004,634.7825120264625,0.8586653394239805
1.5000000000000004,677.3444268538002,0.8612751295622879
1.5100000000000005,722.4849477397267,0.8638730438618691
1.5200000000000005,770.3523143954687,0.8664559191961813
1.5300000000000005,821.103014289832,0.8690208974462259
1.5400000000000005,874.9022318692842,0.8715654033184693
1.5500000000000005,931.924321880894,0.8740871236441798
1.5600000000000005,992.3533080777345,0.8765839880645535
1.5700000000000005,1056.3834086537488,0.8790541510120828
1.5800000000000005,1124.219589825993,0.88149597490432
1.5900000000000005,1196.0781490567924,0.8839080144715272
1.6000000000000005,1272.1873294868824,0.8862890021447033
