lambda,median_abs_deviation
0.15119719593730058,0.8339824446770597
0.15172771241427357,0.8334366040243353
0.15225822889124654,0.83289102585974
0.15278874536821954,0.8323457097098755
0.1533192618451925,0.8318006551025418
0.1538497783221655,0.831255861566739
0.15438029479913848,0.8307113286326698
0.15491081127611148,0.8301670558317403
0.15544132775308445,0.8296230426965627
0.15597184423005744,0.8290792887609556
0.1565023607070304,0.8285357935599462
0.1570328771840034,0.8279925566297707
0.15756339366097638,0.8274495775078756
0.15809391013794938,0.8269068557329189
0.15862442661492238,0.8263643908447699
0.15915494309189535,0.8258221823845107
0.15968545956886834,0.825280229894436
0.1602159760458413,0.8247385329180537
0.1607464925228143,0.8241970910000851
0.16127700899978728,0.8236559036864651
0.16180752547676028,0.8231149705243417
0.16233804195373325,0.8225742910620765
0.16286855843070625,0.8220338648492438
0.16339907490767921,0.821493691436631
0.1639295913846522,0.8209537703762373
0.16446010786162518,0.820414101221274
0.16499062433859818,0.8198746835261631
0.16552114081557115,0.8193355168465372
0.16605165729254415,0.8187966007392381
0.16658217376951712,0.8182579347623165
0.16711269024649011,0.8177195184750302
